Players,Courts,Max Rounds,Round,1a,1b,1c,1d,,2a,2b,2c,2d,,3a,3b,3c,3d,,4a,4b,4c,4d,,5a,5b,5c,5d,,6a,6b,6c,6d,,b1,b2,b3,b4,b5,b6,
18,4,10,6,13,2,12,14,,11,5,1,7,,9,8,10,3,,16,17,18,6,,x,x,x,x,,x,x,x,x,,4,15,x,x,x,x,171
18,4,10,7,9,1,8,16,,3,17,14,5,,13,7,4,18,,12,11,15,6,,x,x,x,x,,x,x,x,x,,10,2,x,x,x,x,171
18,4,10,8,5,10,18,2,,17,1,13,12,,6,16,4,3,,9,7,14,15,,x,x,x,x,,x,x,x,x,,11,8,x,x,x,x,171
18,4,10,9,1,2,15,11,,4,7,10,14,,8,17,13,18,,5,12,16,9,,x,x,x,x,,x,x,x,x,,3,6,x,x,x,x,171
18,4,10,10,4,8,5,13,,1,18,3,15,,16,10,17,11,,14,6,2,12,,x,x,x,x,,x,x,x,x,,7,9,x,x,x,x,171
17,4,10,1,5,6,7,8,,4,2,3,1,,13,14,16,15,,9,11,10,12,,x,x,x,x,,x,x,x,x,,17,x,x,x,x,x,153
17,4,10,2,15,4,11,14,,6,3,12,17,,13,7,2,8,,16,10,1,5,,x,x,x,x,,x,x,x,x,,9,x,x,x,x,x,153
17,4,10,3,1,17,7,11,,6,10,13,4,,12,2,14,5,,16,8,9,3,,x,x,x,x,,x,x,x,x,,15,x,x,x,x,x,153
17,4,10,4,14,1,6,9,,10,15,8,17,,3,13,11,5,,7,12,16,4,,x,x,x,x,,x,x,x,x,,2,x,x,x,x,x,153
17,4,10,5,4,5,9,17,,1,15,12,8,,3,7,10,14,,2,6,11,16,,x,x,x,x,,x,x,x,x,,13,x,x,x,x,x,153
17,4,10,6,14,17,13,16,,11,12,10,3,,9,2,15,7,,4,1,6,8,,x,x,x,x,,x,x,x,x,,5,x,x,x,x,x,153
17,4,10,7,3,5,15,6,,17,10,2,16,,11,4,8,14,,9,13,12,1,,x,x,x,x,,x,x,x,x,,7,x,x,x,x,x,153
17,4,10,8,9,15,6,11,,8,5,13,12,,17,7,3,4,,1,10,14,2,,x,x,x,x,,x,x,x,x,,16,x,x,x,x,x,153
17,4,10,9,10,13,4,9,,15,3,1,16,,17,11,5,2,,6,12,14,7,,x,x,x,x,,x,x,x,x,,8,x,x,x,x,x,153
17,4,10,10,5,7,1,11,,8,9,14,16,,15,12,4,17,,2,3,6,13,,x,x,x,x,,x,x,x,x,,10,x,x,x,x,x,153
17,3,10,1,9,11,10,12,,7,8,5,6,,1,3,2,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,15,13,16,14,17,x,153
17,3,10,2,3,14,13,5,,17,12,15,1,,16,4,10,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,2,11,7,9,x,153
17,3,10,3,14,9,2,17,,15,3,16,7,,8,11,1,13,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,10,12,4,5,x,153
17,3,10,4,5,9,16,12,,10,7,4,8,,6,11,2,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,3,15,13,17,x,153
17,3,10,5,5,4,6,1,,7,11,3,12,,15,10,13,17,,x,x,x,x,,x,x,x,x,,x,x,x,x,,16,14,8,2,9,x,153
17,3,10,6,9,1,3,17,,13,8,16,2,,4,15,12,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,,11,7,6,10,5,x,153
17,3,10,7,17,16,11,5,,6,8,9,2,,13,7,14,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,4,1,3,15,x,153
17,3,10,8,7,4,12,2,,15,6,3,9,,5,10,1,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,17,16,14,8,x,153
17,3,10,9,15,14,8,1,,6,12,16,10,,4,17,13,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,9,11,7,5,x,153
17,3,10,10,3,16,8,14,,11,13,15,9,,2,7,5,17,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,10,12,4,1,x,153
16,4,10,1,8,7,6,5,,4,2,3,1,,13,14,16,15,,9,11,10,12,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,2,8,4,11,14,,13,9,2,7,,6,3,12,15,,16,10,1,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,3,12,2,14,5,,16,8,9,3,,1,11,7,15,,6,13,4,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,4,10,8,2,15,,14,1,6,9,,3,13,11,5,,7,12,16,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,5,2,6,11,16,,4,5,9,15,,1,8,12,13,,3,7,10,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,6,9,1,3,11,,8,15,16,7,,4,12,2,10,,13,5,6,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,7,9,12,13,15,,4,1,8,5,,11,10,14,16,,2,3,7,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,8,16,3,12,5,,13,4,11,7,,6,10,1,15,,8,9,2,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,9,14,4,3,15,,12,6,8,11,,7,9,10,5,,1,16,13,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,4,10,10,3,8,10,13,,2,5,11,15,,7,1,14,12,,6,4,16,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,136
16,3,10,1,7,11,12,1,,5,9,2,3,,10,4,8,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,16,x,x,136
16,3,10,2,9,14,15,7,,16,8,11,4,,13,5,10,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,1,6,12,x,x,136
16,3,10,3,12,8,3,9,,1,13,14,4,,6,15,16,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,11,5,10,x,x,136
16,3,10,4,1,7,10,6,,5,14,16,12,,11,15,13,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,4,2,8,x,x,136
16,3,10,5,1,3,4,2,,9,11,10,12,,7,8,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,16,x,x,136
16,3,10,6,10,5,16,15,,7,9,4,13,,11,2,8,14,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,1,6,12,x,x,136
16,3,10,7,4,6,14,12,,15,3,1,8,,16,13,2,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,11,5,10,x,x,136
16,3,10,8,11,16,6,13,,7,10,14,3,,5,1,12,15,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,4,2,8,x,x,136
16,3,10,9,8,10,2,12,,3,4,16,7,,1,9,5,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,13,15,14,x,x,136
16,3,10,10,6,11,2,14,,7,5,8,13,,9,4,10,15,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,16,1,12,x,x,136
15,3,10,1,7,8,5,6,,9,11,10,12,,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,x,x,x,120
15,3,10,2,12,7,10,14,,13,9,4,5,,6,3,15,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,1,11,x,x,x,120
15,3,10,3,4,9,12,1,,13,15,8,10,,14,2,11,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,3,5,x,x,x,120
15,3,10,4,15,9,3,13,,8,11,7,4,,14,6,5,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,2,10,x,x,x,120
15,3,10,5,11,2,13,8,,12,5,7,15,,1,14,10,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,6,4,x,x,x,120
15,3,10,6,9,8,6,1,,7,2,10,4,,3,12,11,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,15,x,x,x,120
15,3,10,7,13,7,3,14,,15,12,4,6,,2,10,5,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,1,11,x,x,x,120
15,3,10,8,2,1,12,8,,15,11,9,14,,13,4,10,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,3,5,x,x,x,120
15,3,10,9,7,3,9,6,,1,11,13,5,,14,4,15,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,2,10,x,x,x,120
15,3,10,10,2,13,12,14,,3,8,5,10,,1,15,7,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,6,4,x,x,x,120
14,3,10,1,9,11,10,12,,1,3,4,2,,7,8,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,14,x,x,x,x,105
14,3,10,2,2,14,11,8,,6,12,5,13,,9,4,7,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,1,x,x,x,x,105
14,3,10,3,14,5,4,13,,12,7,3,2,,1,11,9,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,10,x,x,x,x,105
14,3,10,4,8,3,9,13,,6,1,12,14,,5,2,11,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,4,x,x,x,x,105
14,3,10,5,13,1,11,7,,8,14,10,3,,2,9,5,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,12,x,x,x,x,105
14,3,10,6,4,3,11,6,,7,9,14,13,,10,8,12,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,5,x,x,x,x,105
14,3,10,7,3,14,1,5,,10,2,6,13,,8,12,7,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,11,9,x,x,x,x,105
14,3,10,8,3,7,10,5,,2,6,9,12,,11,4,8,13,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,14,x,x,x,x,105
14,3,10,9,14,6,7,2,,9,5,1,8,,3,12,13,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,10,x,x,x,x,105
14,3,10,10,13,7,1,10,,14,9,11,5,,3,6,8,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,12,x,x,x,x,105
13,3,10,1,7,8,5,6,,9,11,10,12,,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,13,x,x,x,x,x,91
13,3,10,2,11,6,1,10,,13,8,5,4,,12,7,2,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,x,x,x,x,x,91
13,3,10,3,7,13,3,10,,4,11,6,2,,9,12,8,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,x,x,x,x,x,91
13,3,10,4,4,3,5,10,,13,11,1,7,,2,9,8,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,12,x,x,x,x,x,91
13,3,10,5,11,3,5,9,,13,2,10,8,,6,4,12,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,x,x,x,x,x,91
13,3,10,6,12,6,13,5,,11,1,3,8,,10,4,7,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,x,x,x,x,x,91
13,3,10,7,7,4,12,11,,2,10,1,5,,13,3,6,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,x,x,x,x,x,91
13,3,10,8,9,10,4,8,,1,13,7,2,,12,5,3,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,11,x,x,x,x,x,91
13,3,10,9,1,6,9,13,,3,12,7,10,,2,8,5,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,x,x,x,x,x,91
13,3,10,10,4,13,12,2,,10,6,11,8,,5,7,1,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,x,x,x,x,x,91
12,3,10,1,1,3,4,2,,9,11,10,12,,7,8,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,4,8,10,7,,1,11,3,6,,12,5,2,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,10,1,12,8,,7,5,9,3,,2,6,11,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,2,7,3,12,,6,4,10,5,,9,1,11,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,3,8,6,9,,2,10,5,11,,12,1,7,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,11,7,9,4,,10,8,2,3,,5,1,6,12,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,1,4,9,5,,2,12,6,8,,3,7,10,11,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,1,8,5,2,,11,3,4,12,,7,9,6,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,3,4,9,10,,7,6,1,2,,12,11,8,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,3,10,1,11,6,7,12,,2,4,8,9,,10,1,5,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,78									
12,2,10,1,1,3,2,4,,7,8,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,10,11,12,x,x,78
12,2,10,2,9,5,2,10,,11,6,4,12,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,8,7,3,x,x,78
12,2,10,3,7,11,8,9,,3,12,1,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,4,5,6,x,x,78
12,2,10,4,4,3,7,6,,2,1,8,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,10,11,12,x,x,78
12,2,10,5,10,11,5,4,,9,12,2,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,8,7,3,x,x,78
12,2,10,6,1,9,12,7,,3,10,11,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,4,5,6,x,x,78
12,2,10,7,2,8,3,6,,5,1,7,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,10,11,12,x,x,78
12,2,10,8,2,12,10,4,,5,11,9,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,8,7,3,x,x,78
12,2,10,9,1,8,9,10,,7,3,11,12,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,4,5,6,x,x,78
12,2,10,10,1,6,5,3,,8,4,2,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,10,11,12,x,x,78
11,2,10,1,7,8,5,6,,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,11,10,9,x,x,x,66
11,2,10,2,10,9,8,1,,6,11,4,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,3,7,x,x,x,66
11,2,10,3,9,4,10,7,,8,3,11,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,1,6,x,x,x,66
11,2,10,4,11,3,5,1,,2,7,10,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,8,9,x,x,x,66
11,2,10,5,3,9,5,7,,8,6,1,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,11,10,2,x,x,x,66
11,2,10,6,9,2,4,6,,11,8,10,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,7,1,x,x,x,66
11,2,10,7,3,2,10,8,,1,11,9,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,6,4,x,x,x,66
11,2,10,8,10,3,6,1,,2,5,4,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,9,11,x,x,x,66
11,2,10,9,4,8,11,7,,5,3,6,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,10,2,1,x,x,x,66
11,2,10,10,6,2,8,9,,4,11,1,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,7,5,x,x,x,66
10,2,10,1,6,5,7,8,,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,10,x,x,x,x,55
10,2,10,2,10,1,3,5,,6,8,9,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,7,x,x,x,x,55
10,2,10,3,7,9,4,1,,2,6,10,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,3,x,x,x,x,55
10,2,10,4,3,2,6,9,,7,1,8,10,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,4,x,x,x,x,55
10,2,10,5,4,8,10,2,,7,5,3,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,6,x,x,x,x,55
10,2,10,6,2,8,5,1,,7,3,4,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,10,x,x,x,x,55
10,2,10,7,9,8,10,3,,4,5,6,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,7,x,x,x,x,55
10,2,10,8,1,2,6,7,,10,4,9,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,3,x,x,x,x,55
10,2,10,9,2,7,9,10,,1,8,3,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,4,x,x,x,x,55
10,2,10,10,10,7,3,4,,9,2,8,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,6,x,x,x,x,55
9,2,10,1,7,8,5,6,,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,x,x,x,x,x,45
9,2,10,2,2,5,4,7,,3,9,6,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,x,x,x,x,x,45
9,2,10,3,1,5,3,8,,6,7,4,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,x,x,x,x,x,45
9,2,10,4,4,6,2,8,,1,9,5,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,x,x,x,x,x,45
9,2,10,5,3,6,1,7,,5,8,2,9,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,x,x,x,x,x,45
9,2,10,6,1,2,6,9,,4,8,3,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,x,x,x,x,x,45
9,2,10,7,4,3,5,9,,2,7,1,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,x,x,x,x,x,45
9,2,10,8,8,9,1,4,,2,6,5,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,x,x,x,x,x,45
9,2,10,9,7,9,2,3,,5,4,1,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,8,x,x,x,x,x,45
9,2,10,10,1,8,3,7,,2,4,6,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,9,x,x,x,x,x,45
8,2,10,1,7,8,5,6,,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,2,5,2,4,6,,1,7,3,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,3,5,1,4,8,,6,3,2,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,4,2,3,5,8,,4,1,6,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,5,5,3,1,6,,4,7,2,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,6,1,8,2,6,,3,7,5,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,7,4,3,8,6,,5,7,2,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,8,7,6,2,3,,1,4,5,8,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,9,4,8,6,3,,1,5,2,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
8,2,10,10,1,3,7,4,,2,8,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,36
7,1,10,1,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,6,7,x,x,x,28
7,1,10,2,7,1,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,3,4,x,x,x,28
7,1,10,3,2,3,4,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,5,6,x,x,x,28
7,1,10,4,1,5,6,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,7,2,3,x,x,x,28
7,1,10,5,3,7,2,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,1,5,x,x,x,28
7,1,10,6,4,1,5,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,7,2,x,x,x,28
7,1,10,7,2,5,6,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,4,1,x,x,x,28
7,1,10,8,1,2,3,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,6,7,x,x,x,28
7,1,10,9,1,6,5,7,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,3,4,x,x,x,28
7,1,10,10,2,7,5,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,3,6,x,x,x,28
6,1,10,1,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,6,x,x,x,x,21
6,1,10,2,3,5,4,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,1,x,x,x,x,21
6,1,10,3,5,1,6,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,4,x,x,x,x,21
6,1,10,4,2,3,4,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,1,x,x,x,x,21
6,1,10,5,1,4,5,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,3,x,x,x,x,21
6,1,10,6,6,3,2,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,5,x,x,x,x,21
6,1,10,7,1,5,4,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,6,2,x,x,x,x,21
6,1,10,8,1,6,2,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,5,x,x,x,x,21
6,1,10,9,2,5,3,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,4,x,x,x,x,21
6,1,10,10,3,5,1,6,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,4,x,x,x,x,21
5,1,10,1,1,3,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,x,x,x,x,x,15
5,1,10,2,3,2,5,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,x,x,x,x,x,15
5,1,10,3,1,4,2,5,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,x,x,x,x,x,15
5,1,10,4,4,3,5,1,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,x,x,x,x,x,15
5,1,10,5,2,1,5,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,x,x,x,x,x,15
5,1,10,6,1,4,3,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,5,x,x,x,x,x,15
5,1,10,7,2,5,3,4,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,1,x,x,x,x,x,15
5,1,10,8,5,1,4,2,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,3,x,x,x,x,x,15
5,1,10,9,4,5,1,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,2,x,x,x,x,x,15
5,1,10,10,2,1,5,3,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,x,x,,4,x,x,x,x,x,15
